Jahr;Geschlecht;Vorname;Anzahl
2010;M;Hisham;1
2010;M;Iendrick;1
2010;W;Kaltrina;1
2010;M;Lendi;1
2010;M;Lennard;1
2010;M;León;1
2010;M;Léonard;1
2010;M;Leonit;1
2010;M;Lio;1
2010;M;Lorian;1
2010;W;Lorin;1
2010;W;Louise;1
2010;W;Mala;1
2010;W;Malaika;1
2010;M;Manvir;2
2010;M;Mark;3
2010;W;Marla;1
2010;W;Marshanda;1
2010;W;Martina;1
2010;M;Mateja;1
2010;W;Melia;2
2010;M;Miguel;2
2010;W;Mila;6
2008;W;Tegan;1
2008;M;Thierry;1
2008;W;Tiziana;1
2008;M;Tomasz;1
2008;M;Uros;1
2008;M;Vanja;1
2008;M;Vincent;4
2008;M;Vino;1
2008;W;Yael;1
2008;M;Yann;1
2008;M;Yusuf;1
2008;W;Zoe;2
2009;M;Aeneas;1
2009;W;Agnesa;1
2009;M;Alan;2
2009;M;Alexey-Miguel;1
2009;W;Alima;1
2009;W;Andreia;1
2009;W;Anesa;1
2009;W;Anissa;1
2009;W;Anna-Lena;1
2009;M;Arin;1
2009;M;Ashvin;1
2009;W;Ava-Scarlette;1
2009;W;Azra;2
2009;M;Baran;1
2009;M;Björn;1
2008;W;Mia;4
2008;M;Mir;1
2008;M;Mirco;1
2008;M;Mousab;1
2008;W;Mya;1
2008;M;Neo;1
2008;W;Nora;4
2008;M;Oltian;1
2008;W;Paola;1
2008;W;Paulina;2
2008;W;Pelin;1
2008;W;Petra;1
2008;M;Pino;1
2008;W;Prakriti;1
2008;W;Rabea;1
2008;W;Rananur;1
2008;M;Raul;1
2008;M;Remi;1
2008;W;Roberta;1
2008;M;Ruben;5
2008;M;Salih;2
2008;W;Salma;1
2008;W;Samah;1
2008;W;Samira;1
2008;M;Sascha;3
2008;M;Sebastien;1
2008;W;Sevde;1
2008;M;Shpend;1
2008;M;Sidiki;1
2008;W;Sila;2
2008;W;Sina;2
2008;M;Sofiane;1
2008;W;Sonia;2
2008;W;Stina;1
2008;W;Sude;2
2008;W;Sümeyye;1
2008;W;Tabita;1
2008;M;Taha;1
2008;W;Tania;1
2008;W;Tea;1
2008;M;Timo;3
2008;W;Tonja;1
2008;W;Uma;1
2008;W;Valjeta;1
2008;W;Yaël;1
2008;M;Yll;1
2008;M;Yorick;1
2008;M;Yorris;1
2008;W;Yske;1
2007;M;Remo;1
2007;M;Reshan;1
2007;M;Rodrigo;1
2007;M;Roni;1
2007;W;Rosalia;1
2007;M;Rukan;1
2007;W;Salome;2
2007;M;Samet;1
2007;M;Sandro;1
2007;W;Serena;2
2007;M;Sérgio;1
2007;W;Seval;1
2007;W;Soraya;3
2007;W;Svenja;1
2007;M;Sylvère;1
2007;W;Tali;1
2007;M;Umut;1
2007;W;Valentina;1
2007;M;Valerio;1
2007;M;Valmir;1
2007;W;Yeshi;1
2007;M;Yi;1
2007;W;Yma;1
2007;M;Youssef;1
2007;W;Zara;1
2007;W;Zilan;1
2008;W;Alessia;2
2008;W;Alisa;1
2008;M;Aljoscha;1
2008;M;Amar;2
2008;W;Amela;1
2008;M;Andris;1
2008;M;Andy;1
2008;W;Angela;3
2008;W;Annika;1
2008;W;Ariana;1
2008;M;Arlon;1
2008;W;Azra;2
2008;M;Berken;1
2009;M;Aghilan;1
2009;M;Aleksej;1
2009;W;Alina-Kara;1
2009;W;Anna;8
2009;M;Anond;1
2009;M;Anthony;1
2009;W;Arisa;1
2009;W;Arlinda;2
2009;M;Artim;1
2009;W;Aurelia;2
2009;W;Avantika;1
2009;W;Aya;1
2009;W;Ayla;2
2009;W;Bahar;1
2009;M;Bastian;1
2009;M;Benaja;1
2009;M;Carl-Philip;1
2009;M;Celal;1
2009;M;Chaim;1
2009;W;Charlotte;1
2009;W;Chenoa;1
2009;M;Colin;2
2009;W;Cynthia;1
2009;W;Dalina;1
2009;M;Damir;1
2009;M;Damjan;2
2009;M;Daniel;3
2009;W;Daria;1
2009;M;Demir;1
2009;W;Dhvani;1
2009;W;Diana;1
2009;W;Dilara;2
2009;W;Elaida;1
2009;M;Emilio;1
2009;W;Estelle;1
2009;M;Felix;2
2009;M;Ferenc;1
2008;W;Celina;1
2008;W;Chiara;4
2008;W;Chloé;2
2008;M;Constantine;1
2008;M;Davide;2
2008;M;Demian;1
2008;M;Diego;1
2008;M;Edgar;1
2008;M;Edvard;1
2008;M;Ege;2
2008;W;Ella;4
2008;W;Emi;1
2008;M;Engjull;1
2008;W;Erisa;1
2008;W;Evin;1
2008;M;Florin;1
2008;M;Francesco;1
2008;W;Gemma;1
2008;W;Giulia;2
2008;M;Kaydi;1
2008;W;Lana;3
2008;W;Laura;5
2008;W;Leanda;1
2009;W;Flora;1
2009;M;Güney;1
2009;M;Gurami;1
2009;M;Haris;1
2009;W;Imandra;1
2009;W;Jael;1
2009;M;Jameson;1
2009;W;Julia;4
2009;M;Juri;4
2009;W;Kaylah;1
2009;M;Keanu;1
2009;W;Khulood;1
2009;W;Kiana;1
2009;M;Laurin;3
2009;M;Laurits;1
2009;M;Ledijon;1
2009;W;Lëndina;1
2009;M;Leutrim;1
2009;M;Linnart;1
2009;W;Lorine;1
2009;W;Lotta;1
2009;M;Louis;6
2009;M;Luka;1
2009;W;Madara;1
2009;M;Berkan;1
2009;W;Bethany;1
2009;M;Bilal;1
2009;W;Binta;1
2009;M;Brunel;1
2009;M;Doriano;1
2009;M;Edwin;1
2009;W;Elaia;1
2009;M;Eliam;1
2009;W;Elif;3
2009;W;Elin;2
2009;M;Erik;1
2009;M;Eris;2
2008;W;Garance;1
2008;W;Grace;1
2008;W;Hafesa;1
2008;M;Hassan;1
2008;W;Ikram;1
2008;W;Iris;1
2008;W;Jasmine;2
2008;W;Jeannine;1
2008;M;Jéremy;1
2008;W;Joana;1
2008;M;Joshua;5
2008;M;Josua;2
2008;W;Joy;1
2008;M;Jusuf;1
2008;M;Karam;1
2008;M;Lars;2
2008;W;Latoya;1
2008;M;Leander;2
2008;W;Leann;1
2009;M;Finley;1
2009;M;Fynn;1
2009;M;Gabriele;1
2009;W;Gabriella;1
2009;M;Genti;1
2009;M;Georgios;1
2009;M;Gijs;1
2009;M;Guillaume;1
2009;W;Helin;3
2009;M;Isaiah;1
2009;M;Jack;3
2009;W;Jaële;1
2009;M;Jamin;1
2009;M;Jason;1
2009;M;Jesper;1
2009;M;Jonis;1
2009;W;Karima;1
2009;W;Karoliina;1
2009;M;Khalid;1
2009;W;Leah;1
2009;M;Linus;2
2009;M;Lukas;4
2009;W;Maja;2
2009;W;Marie;1
2010;M;Bryan;2
2010;W;Charlotte;3
2010;W;Clarinda;1
2010;M;Cornelis;1
2010;W;Dafina;1
2010;W;Ejla;1
2010;M;Elia;4
2010;W;Elina;5
2010;W;Elsa;1
2010;M;Emanuel;2
2010;M;Enes;1
2010;M;Eric;4
2010;W;Eslem-Nur;1
2010;W;Esra;1
2010;M;Esrom;1
2010;M;Ethan;1
2010;M;Evangelos;1
2010;M;Fanial;1
2010;M;Flavio;1
2010;M;Florian;1
2010;M;Flurin;3
2010;W;Franca;2
2010;M;Franz;1
2010;W;Havin;2
2010;M;Henry;1
2010;M;Ibrahim;2
2010;W;Jaël;1
2010;M;Jakob;2
2010;M;Janaël;1
2010;M;Janis;1
2010;M;Joël;1
2010;M;Juan;1
2010;M;Justin;3
2010;W;Ladina;2
2010;W;Laura;5
2010;M;Leeven;1
2010;W;Milla;2
2008;W;Theresia;1
2008;M;Ulas-Adil;1
2008;W;Valentina;4
2008;M;Valmir;2
2008;M;Venit;1
2008;M;Viggo;1
2008;W;Yagmur-Su;1
2008;M;Yannik;1
2008;W;Ylenia;1
2008;W;Zaïra;1
2009;W;Aaliyah;2
2009;M;Aarav;1
2009;W;Anaïa;1
2008;M;Ibrahim;1
2008;W;Idal;1
2008;M;Igor;1
2008;W;Illaya;1
2008;M;Imanuel;1
2008;M;Isidor;1
2008;M;James;3
2008;M;Janis-Alexis;1
2008;M;Jeremy;1
2008;M;Jérôme;1
2008;M;Joel;4
2008;M;Joey-Christian;1
2008;W;Jolanda;1
2008;M;Jonas;2
2008;W;Josefina;1
2008;W;Jule;1
2008;W;Katarina;3
2008;W;Keyla;1
2008;W;Klaudia;1
2008;M;Konradin;1
2008;M;Laurin;3
2008;W;Lea;5
2008;M;Leandro;4
2008;W;Leilani;1
2008;M;Len;1
2008;W;Lenya;1
2008;M;Leon;3
2008;W;Leona;1
2008;M;Leonel;1
2008;W;Lexa;1
